100 32
13 19 1
7 8 1
1 15 1
9 2 1
12 9 1
13 4 1
11 5 1
13 9 1
19 20 1
19 7 1
17 2 1
19 16 1
6 14 1
16 8 1
9 20 1
8 10 1
11 1 1
7 11 1
13 6 1
16 5 1
13 6 1
14 18 1
16 7 1
11 1 1
12 2 1
1 2 1
8 10 1
2 14 1
8 11 1
11 14 1
5 2 1
11 9 1
16 15 1
6 20 1
11 16 1
3 2 1
6 5 1
6 13 1
3 4 1
15 9 1
1 13 1
11 20 1
2 3 1
10 13 1
16 19 1
18 5 1
5 8 1
17 12 1
2 16 1
11 16 1
13 5 2
8 2 2
19 7 2
8 3 2
6 19 2
5 1 2
13 7 2
10 3 2
13 15 2
16 13 2
17 5 2
9 6 2
5 6 2
3 6 2
11 17 2
9 7 2
13 7 2
8 17 2
7 1 2
9 16 2
6 4 2
8 18 2
2 4 2
17 20 2
12 1 2
8 6 2
6 8 2
10 13 2
14 5 2
15 4 2
7 9 2
2 8 2
9 4 2
18 11 2
15 17 2
13 11 2
7 18 2
3 6 2
6 14 2
7 19 2
6 1 2
5 8 2
7 12 2
1 3 2
19 12 2
12 11 2
17 6 2
10 17 2
16 2 2
12 3 2
